#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
twtrbridge.de,suspend,false,false,third-party bots,false
twttr.yukineko.me,suspend,false,false,third-party bots,false
urchan.org,suspend,false,false,hate speech,false
urweibo.com,silence,false,false,unmanaged spam,false
usasa.ky,silence,false,false,unmanaged spam,false
varis*******.net,suspend,false,false,inappropriate content,false
webmasto.online,suspend,false,false,spam,false
whit******.dog,suspend,false,false,inappropriate content,false
wolfgirl.bar,suspend,false,false,hate speech,false
workers.dev,suspend,false,false,botnet,false
x.good.news,suspend,false,false,third-party bots,false
xxxtumblr.org,silence,false,false,pornographic content not marked as sensitive,false
yes***.*et,suspend,false,false,inappropriate content,false
yggdrasil.social,suspend,false,false,hate speech,false
yot**.***ks,suspend,false,false,inappropriate content,false
yot**.*ol,suspend,false,false,inappropriate content,false
you**.**ve,suspend,false,false,inappropriate content,false
youj*.*****ver,suspend,false,false,inappropriate content,false
yum***.cc,suspend,false,false,inappropriate content,false
zet***.**ub,suspend,false,false,inappropriate content ,false
zztails.gay,suspend,false,false,hate speech,false
